tw_0,雖然通常沒什麼威力，但有很低的機率來一次殺死對方。
tw_1,"人們在新春向神明祈福後獲得的魔法氣息，可為祈福的人帶來福氣。\n可到馬洛斯、沙棘木村和騎特拉城鎮找\fW新春使者\f>兌換獎品。"
tw_2,新手匕首。新手使用的匕首。
tw_3,用秘銀製作的匕首，具有魔法能力，能用魔力恢復和提供魔法力。
tw_4,以奧鋼製作的匕首，不會損壞。
tw_5,"使用後可隨機獲得10顆四元素中的任意一種"
tw_6,"珍貴的魔法書籍，蘊含著強大的神魔之力，記錄著高級魔法技能。 \n分類：5級魔法（普通）\n效果：召喚出暗黑之影籠罩敵人，有一定機率使目標致盲，持續時間24秒。 \n學習要求：\n法師：20級\n精靈：40級"
tw_7,"\f=限時物品，6月13日10:00消失。\f>\n蘊含過去記憶的泉水，可重置49等後已分配的智力或精神屬性點。\n使用等級：50以上\n可找世界樹下的\f3米婭[重置屬性點]\f>了解重置屬性相關資訊。"
tw_8,布倫丹使用的劍，受到某人的詛咒。
tw_9,"僅可用於強化\fW風殞之劍[劍胚]\f>，強化成功概率與一般武器強化概率相當，強化成功成為\fW+9 風殞之劍[劍胚]\f>，強化失敗劍胚與強化卷軸均消失。\n\fW風殞之劍[劍胚]\f>最高只能強化至+9，繼續強化無法提升強化等級。"
tw_10,能刺入盔甲的縫隙，比其他劍命中高。
tw_11,由精靈族最高長老賦予的精靈族之劍
tw_12,提高力量的特殊長劍。
tw_13,"刻有輪迴咒文的石碑，可重置初始屬性，重新升級至10等並保留49等後的附加屬性。\n使用等級：60\n可找世界樹下的\f3米婭[重置屬性點]\f>了解重置屬性相關資訊。"
tw_14,"\f3不可穿戴。\f>\n\f3不可用於強化等級融合繼承。\f>\n使用\fW風殞之劍專屬強化卷軸\f>可對其強化，強化成功可強化為\fW+9風殞之劍[劍胚]\f>，強化失敗該劍胚將消失。\n強化至+9後可由\fW朗博\f>加工成\fW+9風殞之劍\f>。\n該劍胚最高只可強化至+9，繼續強化不會提升強化等級。\n\fW+9風殞之劍\f>可用於武器強化等級融合繼承。"
tw_15,新手單手劍。新手使用的單手劍。
tw_16,不容易損壞的特殊劍。
tw_17,"\f3不可穿戴。\f>\n可在馬洛斯的\fW朗博\f>處用於武器強化等級融合繼承。"
tw_18,波斯彎刀。用被稱作傳說中的金屬的奧鋼製作而成。
tw_19,"\fW隱藏之谷\f>活動積分獎品，可用於兌換勇氣之章或對勇氣之章的使用次數進行補充。\n兌換勇氣之章每次消耗3個，補充勇氣之章使用次數每次消耗1個。\n當勇氣之章剩餘使用次數≤300時，每消耗1個勇氣之源，可為勇氣之章補充150次使用次數。"
tw_20,"\fW隱藏之谷\f>活動積分獎品，可用於兌換無畏之章或對無畏之章的使用次數進行補充。\n兌換無畏之章每次消耗3個，補充無畏之章使用次數每次消耗1個。\n當無畏之章剩餘使用次數≤300時，每消耗1個無畏之源，可為無畏之章補充150次使用次數。"
tw_21,"瓶內裝著白色魔法藥水，使用後可恢復較多體力。\n可重複使用。\n\f3只可在攻城戰開戰期間和戰爭區域內使用。"
tw_22,新手雙手劍。新手使用的雙手劍。
tw_23,"可傳送至沙棘木城堡市政廳。"
tw_24,"使用\fW隱藏之谷\f>活動積分獎品「勇氣之源」兌換獲得。\n最高可使用次數：450次。\n使用後獲得900秒勇氣祝福狀態：\n\f=持續時間內防禦-2\f>。\n剩餘使用次數≤300時可通過消耗「勇氣之源」進行補充。"
tw_25,"使用\fW隱藏之谷\f>活動積分獎品「無畏之源」兌換獲得。\n最高可使用次數：450次。\n使用後獲得900秒無畏祝福狀態：\n\f=持續時間內防禦-2，受到玩家攻擊時，物理/魔傷減免2\f>。\n剩餘使用次數≤300時可通過消耗「無畏之源」進行補充。"
tw_26,布倫丹使用的杖，以憤怒召喚閃電，給予目標相當的損害。
tw_27,NULL
tw_28,死亡騎士屠龍時所使用的劍。具有死亡騎士的怨念。
tw_29,惡魔之劍。魔族使用的劍，使用時體力會持續減少，但行動會變得更快。
tw_30,"可把聲音擴大100倍的神奇海螺，用於發佈橫幅信息。"
tw_31,"\f=限時物品，有效期:24小時。\f>\n裝著狩獵山脈傳送卷軸的木盒，可在馬洛斯\fW獵魔人\f>處購買，使用即可獲得30分鐘時效的狩獵山脈傳送卷軸。\n當身上已有狩獵山脈傳送卷軸時，該盒子無法使用。"
tw_32,"使用即可傳送到狩獵山脈，狩獵魔物！"
tw_33,使用青銅製造的爪，性能不佳。
tw_34,NULL
tw_35,使用鋼鐵製造的爪，非常堅固。
tw_36,"風神梵迪贈與世人的元素原石。"
tw_37,"水神伏特贈與世人的元素原石。"
tw_38,"土神堤拉贈與世人的元素原石。"
tw_39,"火神伏尔坎贈與世人的元素原石。"
tw_40,"由元素之力凝結生成的結晶體。"
tw_41,"裝有武器製作素材的木箱，\n打開後可獲得四階武器淨化藥水×1、三階武器淨化藥水×2和隨機一種武器素材。\n(不包括瑕疵武器。素材用於製作52級才可裝備的武器)"
tw_42,"裝有瑕疵武器的石盒，打開後可隨機獲得一種瑕疵武器\n(用於製作52級才可裝備的武器)"
tw_43,"已購買過[武器素材木箱]的憑證。"
tw_44,"已購買過[瑕疵武器石盒]的憑證。"
tw_45,"限時物品，有效期7天。\n新手福利第七天獎勵。\n可於[隱藏之谷]活動開啟期間前往馬洛斯的米爾斯處兌換[隱藏之谷迎新石盒]"
tw_46,"限時物品，有效期24小時。\n使用後可獲得30分鐘時效的\fW隱藏之谷通行證·迎新\f>，可用於進入\fW隱藏之谷·Ⅰ、Ⅱ或Ⅲ\f>，身上已有\fW隱藏之谷通行證·迎新\f>時不可使用此盒子。"
tw_47,"\fW隱藏之谷·Ⅰ、Ⅱ、Ⅲ\f>的通行證，有效時間內可多次使用進入山谷練功享受經驗加成。\n\fW使用者等級不同將被傳送至不同的隱藏之谷：\nLv40-49：進入隱藏之谷·Ⅰ。\nLv50-59：進入隱藏之谷·Ⅱ。\nLv60以上：進入隱藏之谷·Ⅲ。\f>"
tw_48,NULL
tw_49,新手長矛。新手使用的長矛。
tw_50,NULL
tw_51,NULL
tw_52,NULL
tw_53,NULL
tw_54,NULL
tw_55,由精靈族最高長老賦予提升敏捷力的精靈族之劍。
tw_56,由精靈族最高長老賦予提升敏捷力的精靈族之弓。
tw_57,NULL
tw_58,NULL
tw_59,NULL
tw_60,NULL
tw_61,NULL
tw_62,"最高只可強化至+6，繼續強化不會提升強化等級。\n初心者訓練之用。"
tw_63,"最高只可強化至+4，繼續強化不會提升強化等級。\n初心者訓練之用。"
tw_64,能快速恢復魔力的法杖。
tw_65,新手法杖。新手使用的法杖。
tw_66,擁有貝雷特魔力的魔杖，增加魔法攻擊力，加快魔力恢復的速度。
tw_67,擁有巴風特魔力的魔杖，以黑暗氣息將大地撕裂開來，能給予目標相當的損害。
tw_68,提高魔法攻擊力。
tw_69,攻擊對方時，漸漸奪取對方魔力的魔杖。
tw_70,提高攻擊魔法的打擊
tw_71,魔法額外點數降低，但攻擊力會提升的武器。
tw_72,新手斧頭。新手使用的斧頭。
tw_73,新手石頭。新手使用的石弓。
tw_74,新手之頭。新手使用的之弓。
tw_75,使用古人曾用過的弓來使用武器魔法卷軸就無法施法。
tw_76,由精靈族最高長老賦予提高魔力的精靈族之劍。
tw_77,由精靈族最高長老賦予提升生命力的精靈族之劍。
tw_78,為了使用敏捷的魔法而特殊製造的頭盔。戴著這頭盔再使用魔法魔力的消耗是平常的一半。
tw_79,提高魔法抵抗力的頭盔。魔法施的越多魔法抵抗力越高。
tw_80,使騎士可使用治療魔法之特殊頭盔。使用此頭盔耗的魔力省一半。
tw_81,使騎士可使用迅速魔法之特殊頭盔。使用此頭盔耗的魔力省一半。
tw_82,使騎士可使用力量魔法之特殊頭盔。使用此頭盔耗的魔力省一半。
tw_83,擁有斯偉丹魔力的帽子，提高智力。
tw_84,只有王子和公主能戴。會提高精神和毅力。道具的擁有者若死亡就會掉在地上。
tw_85,擁有索羅納魔力的帽子，增加魔力的恢復速度。
tw_86,新手皮頭盔。新手使用的頭盔。
tw_87,擁有詩蔻蒂魔力的帽子，增加魔力的最大值，並增加魔力的恢復速度。
tw_88,古代精靈族的頭盔。增加敏捷。
tw_89,裝備的話在黑暗的地方也可以看到事物。
tw_90,擁有恩多魔力的帽子，增加魔力的最大值。
tw_91,布倫丹使用的頭盔，受到某人的詛咒。
tw_92,擁有蟻后的神秘力量，提升魔法防禦和體力的最大值。
tw_93,擁有蟻后的神秘力量，提升魔法防禦和魔力的最大值。
tw_94,擁有地屬性的斗篷，對於地屬性的攻擊有較高的抵抗力。
tw_95,相當快速恢復魔力的斗篷。
tw_96,針對魔法提高抵抗力的斗篷。施魔法時抵抗力更有效。
tw_97,擁有水屬性的斗篷，對於水屬性的攻擊有較高的抵抗力。
tw_98,擁有風屬性的斗篷，對於風屬性的攻擊有較高的抵抗力。
tw_99,擁有火屬性的斗篷，對於火屬性的攻擊有較高的抵抗力。
tw_100,精靈製作的斗篷，精靈穿著時體力恢復的速度變快。
tw_101,銀製造的斗篷，對於魔法有較高的抵抗力。
tw_102,穿了後怪物和其他玩家看不到。不主動攻擊或行為才會有效果。
tw_103,新手T恤。新手使用的T恤。
tw_104,可穿在盔甲裡面。
tw_105,提高魔法抵抗力的鏈甲。魔法施得越多魔法抵抗力越高。
tw_106,為不明人士製作的魔法盔甲，對毒與光線魔法有強大的抵抗能力。
tw_107,新手皮甲。新手使用的皮甲。
tw_108,布倫丹使用的護甲，受到某人的詛咒。
tw_109,擁有黑長者魔力的長袍，增加魔力的恢復速度。
tw_110,擁有強烈氣息的手套。
tw_111,蘊藏著水精靈氣息的手套。提高水屬性抵抗力。
tw_112,新手皮手套。新手使用的皮手套。
tw_113,蘊藏著大地精靈氣息的手套。提高地屬性抵抗力。
tw_114,蘊藏著火精靈氣息的手套。提高火屬性抵抗力。
tw_115,布倫丹使用的手套，受到某人的詛咒。
tw_116,含食人魔的血的手套，會增加力量。
tw_117,蘊藏著風精靈氣息的手套。提高風屬性防禦。
tw_118,為不明人士製作的魔法長靴，對對防具強化的卷軸有稍微的抵抗能力。
tw_119,新手皮涼鞋。新手使用的皮涼鞋。
tw_120,布倫丹使用的長靴，受到某人的詛咒。
tw_121,擁有黑長者魔力的涼鞋，增加魔力的恢復速度。
tw_122,可感受到炎魔魔力氣息的水晶球，增加魔力的最大值。
tw_123,像針對光箭魔法擁有相當高的防禦力。
tw_124,具有紅眼的盾牌，對於光線型魔法具有相當的防禦力。
tw_125,可防禦全身的盾牌，針對飛過來的武器具有強大的防禦力。但需要用雙手，而無法攜帶武器。
tw_126,新手皮盾牌。新手使用的皮盾牌。
tw_127,精靈製作的盾牌。對魔法的抵抗力提高。
tw_128,提高魔法抵抗力之盾牌。
tw_129,提升毅力的項錬。
tw_130,提升敏捷的項錬。
tw_131,提升少許體力的項錬。
tw_132,提升力量的項錬。
tw_133,提升智力的項錬。
tw_134,提升精神的項錬。
tw_135,提升體質的項錬。
tw_136,刻有骷髏圖案符號的項錬，不知為什麼覺得毛骨悚然，很難被強化。
tw_137,若跟變身魔杖一起使用，可以變為自己想要的怪物。
tw_138,新手指環。新手使用的戒指。
tw_139,戴著這支戒指可隨意召喚想要的怪物。
tw_140,跟瞬間移動的卷軸一起使用的話，可以傳送島之前標記書籤的場所。
tw_141,裝備此腰帶後體力會增加。
tw_142,裝備此腰帶後體力與魔力會增加。
tw_143,裝備此腰帶後魔力會增加。
tw_144,擁有強烈力量與氣息的腰飾品。
tw_145,裝備保護卷軸，可在強化裝備時，防止因強化失敗造成裝備消失的卷軸。
tw_146,寫著贖罪文句的聖書。
tw_147,樹枝，含有治療所有毒的成分。
tw_148,召喚怪物的魔法笛子
tw_149,送禮拜祭兩相宜。
tw_150,集中力提高，比平常使用魔法還更有效果，只有魔法時才會有效果。
tw_151,一定的時間動作變快。
tw_152,恢復一點體力。
tw_153,治療所有毒。
tw_154,恢復較多的體力。
tw_155,在一定的時間動作比綠色藥水還快，但只有騎士才會有效果。
tw_156,瓶內裝著橙色魔法藥水，使用後可恢復體力。
tw_157,精靈特殊的食物。是把精靈食物灌入森林的活力做的。吃下去後在一定的時間內，所有的動作變快。這個食物針對精靈才有效果。
tw_158,"\f3【內部測試物品】\n+1等級卷軸。閱讀卷軸後會升 1 等級。"
tw_159,"\f3【內部測試物品】\n-1等級卷軸。閱讀卷軸後會降 1 等級。"
tw_160,"\f3【內部測試物品】\n+10K正義值卷軸。閱讀後增加 10000 點正義值。"
tw_161,"\f3【內部測試物品】\n-10K正義值卷軸。閱讀後減少 10000 點正義值。"
tw_162,死亡藥水。使用後馬上原地死亡。
tw_163,枯黃的古藤魔杖，可創造部分怪物，怪物不受創造者控制。
tw_164,強大的雷木魔杖，可召喚雷霆閃電攻擊目標。
tw_165,詭異的古木魔杖，可將目標變成怪物，若與變身戒指一起使用，可將目標變為指定怪物。
tw_166,神奇的水晶魔杖，可強制將目標移動一定距離。
tw_167,古代人使用的體力恢復劑，圍繞著古代的氣息。
tw_168,古代人使用的強力體力恢復劑，圍繞著古代的氣息。
tw_169,古代人使用的終極體力恢復劑，圍繞著古代的氣息。
tw_170,喝完之後暫時失明，但是也可以看到一些特別的東西。
tw_171,精神藥水。喝下之後可恢復一些魔力。
tw_172,吃了能夠增加飽度。肚子餓時體力無法恢復。
tw_173,魔眼的嫩肉，聽說食用後會提高靈敏的能力，通常作為魔法材料。
tw_174,施魔法在盔甲上給予強化，使盔甲增加防禦力。
tw_175,破壞現在穿著的盔甲。
tw_176,傳送回家的卷軸。使用之後傳送到最近的村莊。
tw_177,施魔法在武器上給予強化，使武器增加攻擊力。
tw_178,復活人或者怪物。
tw_179,寫滿詭異符文的卷軸，使用後可在一段時間內變為怪物。變身後會影響攻擊與移動速度，還能避免部分怪物的主動攻擊。
tw_180,會傳送到任意的場所，若跟傳送控制戒指一起用，可以移動到自己想要去的地方。
tw_181,使用之後可解開道具上面的詛咒。
tw_182,使用之後可知其他道具的能力。
tw_183,打開魔王洞穴二樓門的鑰匙。
tw_184,表示已經馴養的寵物的項錬。若交換此項錬，可以交換寵物。
tw_185,能夠恢復武器損害的道具。
tw_186,史萊姆的胃液，具有能腐蝕物品的功能。
tw_187,精製的黑色秘銀，可使用於製作道具的材料。
tw_188,黑色秘銀的原石，在精製黑色秘銀時使用。
tw_189,使用黑色秘銀製作的合金，煉製過程非常麻煩的金屬。
tw_190,一種精靈族製作的高貴金屬。使用於損壞的武器上可減少損壞程度。
tw_191,食人魔的血。是食人魔的力量之源。
tw_192,精靈之翅膀。可以傳送到最近的村莊。
tw_193,"\f3【內部測試物品】\n召喚怪物魔杖。使用一次召喚一隻怪物。"
tw_194,"\f3【內部測試物品】\n重置魔法藥水。使用一次能夠重置所有已學的魔法。"
tw_195,神秘的寶石魔杖，裝備後能夠吸取對方的魔力。
tw_196,源自精靈族製作工藝的體質皮盔。
tw_197,源自精靈族製作工藝的敏捷皮盔。
tw_198,血紅的頭巾，紀念騎士英靈。
tw_199,Teon活動禮包，使用後可隨機獲得珍稀裝備、珍貴道具。
tw_200,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得1天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_201,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得3天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_202,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n使用之後獲得30天時效的誓約書，即刻生效；\n獲得的誓約書與現有誓約書不可重用，時限不可累加，僅保留時限長度最大的誓約書。"
tw_203,"輕盈的祝福禮包，內裝創世神蒂安的信仰之力，使用後可獲得誓約書。\n注意：\n該物品的使用時效即是誓約書的使用時效；\n該物品過期後，獲得的誓約書同樣過期。"
tw_204,採用地獄木製作的鑰匙。賈克斯正在回收這把鑰匙。
tw_205,經過邪惡生物血液侵染的黑色鑰匙。
tw_206,"寫滿詭異符文的卷軸，使用後可在一段時間內變為\f=死亡騎士。"
tw_207,瓶內裝著藍色魔法藥水，使用後可增加魔力恢復量。
