tw_0,殺戮的,亞倫
tw_1,背叛的,亞伯
tw_2,黑暗的,亞伯拉罕
tw_3,傳說的,亞當
tw_4,漆黑的,艾德裡安
tw_5,暴虐的,艾登
tw_6,鏡中的,阿爾瓦
tw_7,機關的,亞歷克斯
tw_8,封印的,亞歷山大
tw_9,禁忌的,艾倫
tw_10,血污的,亞伯特
tw_11,飛舞的,阿爾弗雷德
tw_12,光輝的,安德魯
tw_13,機智的,安迪
tw_14,勇猛的,安格斯
tw_15,憤怒的,安東尼
tw_16,熱血的,阿波羅
tw_17,光輝的,阿諾德
tw_18,可靠的,亞瑟
tw_19,孤高的,奧古斯特
tw_20,熱情的,奧斯丁
tw_21,冷漠的,本
tw_22,邪氣的,本傑明
tw_23,閃耀的,伯特
tw_24,膽小的,本森
tw_25,衝動的,比爾
tw_26,冷靜的,比利
tw_27,忠誠的,布萊克
tw_28,幸運的,鮑伯
tw_29,敏捷的,鮑比
tw_30,強壯的,拉德
tw_31,猛烈的,布蘭登
tw_32,束縛的,布蘭特
tw_33,贖罪的,布倫特
tw_34,追憶的,布賴恩
tw_35,片翼的,布朗
tw_36,災難的,布魯斯
tw_37,熾熱的,迦勒
tw_38,冰冷的,卡梅倫
tw_39,陰險的,卡爾
tw_40,嚴格的,卡洛斯
tw_41,散漫的,凱裡
tw_42,努力的,卡斯帕
tw_43,進擊的,塞西
tw_44,流離的,查理斯
tw_45,無力的,采尼
tw_46,華麗的,克裡斯
tw_47,沉默的,克利斯蒂安
tw_48,喧嘩的,克裡斯多夫
tw_49,細致的,克拉克
tw_50,粗心的,柯利弗
tw_51,陰沉的,科迪
tw_52,不敗的,科爾
tw_53,支配的,科林
tw_54,真實的,科茲莫
tw_55,虛偽的,丹尼爾
tw_56,幻想的,丹尼
tw_57,威風的,達爾文
tw_58,掠奪的,大衛
tw_59,賢明的,鄧尼斯
tw_60,無常的,德裡克
tw_61,狡猾的,狄克
tw_62,失落的,唐納德
tw_63,驚艷的,道格拉斯
tw_64,困惑的,杜克
tw_65,殘暴的,狄倫
tw_66,專注的,埃迪
tw_67,耐久的,愛德格
tw_68,堅固的,愛迪生
tw_69,詛咒的,艾德蒙
tw_70,遲鈍的,愛德華
tw_71,辛勤的,艾德文
tw_72,多慮的,以利亞
tw_73,憂傷的,艾略特
tw_74,傲嬌的,艾維斯
tw_75,鬼畜的,埃裡克
tw_76,快樂的,伊桑
tw_77,黑化的,柳真
tw_78,怪力的,埃文
tw_79,變態的,福特
tw_80,暴走的,弗蘭克思
tw_81,美型的,弗蘭克
tw_82,静静的,佛蘭克林
tw_83,匆匆的,弗瑞德
tw_84,悄悄的,加百利
tw_85,慢慢的,加比
tw_86,偷偷的,加菲爾德
tw_87,泠泠的,加裡
tw_88,轻轻的,加文
tw_89,忿忿的,傑佛瑞
tw_90,楚楚的,喬治
tw_91,白白的,基諾
tw_92,哇哇的,格林
tw_93,蠢蠢的,格林頓
tw_94,幽幽的,漢克
tw_95,薄薄的,哈帝
tw_96,密密的,哈裡森
tw_97,冥冥的,哈利
tw_98,混混的,海頓
tw_99,昏昏的,亨利
tw_100,星星的,希爾頓
tw_101,汹汹的,雨果
tw_102,油油的,亨克
tw_103,闷闷的,霍華德
tw_104,熊熊的,亨利
tw_105,亲亲的,伊恩
tw_106,沉沉的,伊格納茲
tw_107,细细的,伊凡
tw_108,小小的,以撒
tw_109,帥帥的,以賽亞
tw_110,美美的,傑克
tw_111,萌萌的,傑克遜
tw_112,大大的,雅各
tw_113,乖乖的,詹姆士
tw_114,凶凶的,詹森
tw_115,默默的,傑伊
tw_116,黑黑的,傑弗瑞
tw_117,綠綠的,傑羅姆
tw_118,紅紅的,傑瑞
tw_119,黃黃的,傑西
tw_120,怪怪的,吉姆
tw_121,熱熱的,吉米
tw_122,白花花的,喬
tw_123,紅通通的,約翰
tw_124,灰濛濛的,喬尼
tw_125,金燦燦的,喬納森
tw_126,綠油油的,喬丹
tw_127,黃澄澄的,約瑟夫
tw_128,烏黑黑的,約書亞
tw_129,黑漆漆的,賈斯汀
tw_130,陰沈沈的,凱斯
tw_131,亮晶晶的,肯
tw_132,洋娃娃的,甘乃迪
tw_133,慢吞吞的,肯尼斯
tw_134,懶洋洋的,肯尼
tw_135,水汪汪的,凱文
tw_136,甜蜜蜜的,凱爾
tw_137,酸溜溜的,蘭斯
tw_138,熱呼呼的,拉裡
tw_139,香噴噴的,勞倫特
tw_140,氣呼呼的,勞倫斯
tw_141,火辣辣的,裡安德爾
tw_142,冷颼颼的,李
tw_143,軟綿綿的,雷歐
tw_144,硬繃繃的,雷納德
tw_145,瘦巴巴的,利奧波特
tw_146,胖嘟嘟的,萊斯利
tw_147,頂瓜瓜的,勞倫
tw_148,血淋淋的,勞瑞
tw_149,靜悄悄的,勞瑞恩
tw_150,苦哈哈的,路易士
tw_151,空蕩蕩的,盧克
tw_152,喜洋洋的,馬庫斯
tw_153,輕飄飄的,馬西
tw_154,濕漉漉的,馬克
tw_155,笑瞇瞇的,馬科斯
tw_156,笑咪咪的,瑪律斯
tw_157,笑嘻嘻的,馬歇爾
tw_158,笑呵呵的,馬丁
tw_159,笑吟吟的,馬文
tw_160,笑盈盈的,梅森
tw_161,笑哈哈的,馬修
tw_162,娘娘腔的,馬克斯
tw_163,呱呱叫的,邁克爾
tw_164,飄飄然的,米奇
tw_165,團團轉的,麥克
tw_166,NULL,南森
tw_167,NULL,納旦尼爾
tw_168,NULL,尼爾
tw_169,NULL,尼爾森
tw_170,NULL,尼古拉斯
tw_171,NULL,尼克
tw_172,NULL,諾亞
tw_173,NULL,諾曼
tw_174,NULL,奧利弗
tw_175,NULL,奧斯卡
tw_176,NULL,歐文
tw_177,NULL,派翠克
tw_178,NULL,保羅
tw_179,NULL,彼得
tw_180,NULL,菲力浦
tw_181,NULL,菲比
tw_182,NULL,昆廷
tw_183,NULL,蘭德爾
tw_184,NULL,藍道夫
tw_185,NULL,蘭迪
tw_186,NULL,雷
tw_187,NULL,雷蒙德
tw_188,NULL,列得
tw_189,NULL,雷克斯
tw_190,NULL,理查
tw_191,NULL,裡奇
tw_192,NULL,瑞利
tw_193,NULL,羅伯特
tw_194,NULL,羅賓
tw_195,NULL,羅賓遜
tw_196,NULL,洛克
tw_197,NULL,羅傑
tw_198,NULL,羅奈爾得
tw_199,NULL,羅文
tw_200,NULL,羅伊
tw_201,NULL,賴安
tw_202,NULL,山姆
tw_203,NULL,薩米
tw_204,NULL,撒母耳
tw_205,NULL,斯考特
tw_206,NULL,肖恩
tw_207,NULL,尚恩
tw_208,NULL,西德尼
tw_209,NULL,西蒙
tw_210,NULL,所羅門
tw_211,NULL,斯派克
tw_212,NULL,斯賓塞
tw_213,NULL,斯派克
tw_214,NULL,斯坦利
tw_215,NULL,史蒂夫
tw_216,NULL,史蒂文
tw_217,NULL,斯圖爾特
tw_218,NULL,斯圖亞特
tw_219,NULL,特倫斯
tw_220,NULL,特裡
tw_221,NULL,泰德
tw_222,NULL,湯瑪斯
tw_223,NULL,提姆
tw_224,NULL,蒂莫西
tw_225,NULL,陶德
tw_226,NULL,湯米
tw_227,NULL,湯姆
tw_228,NULL,湯瑪斯
tw_229,NULL,托尼
tw_230,NULL,泰勒
tw_231,NULL,奧特曼
tw_232,NULL,尤利塞斯
tw_233,NULL,範
tw_234,NULL,弗恩
tw_235,NULL,弗農
tw_236,NULL,維克多
tw_237,NULL,文森特
tw_238,NULL,華納
tw_239,NULL,沃倫
tw_240,NULL,韋恩
tw_241,NULL,衛斯理
tw_242,NULL,威廉
tw_243,NULL,威利
tw_244,NULL,扎克
tw_245,NULL,聖扎迦利
tw_246,NULL,阿比蓋爾
tw_247,NULL,艾比
tw_248,NULL,艾達
tw_249,NULL,阿德萊德
tw_250,NULL,艾德琳
tw_251,NULL,亞歷桑德拉
