id,dollId,name,level,gfxId,hpMax,hpr,hpc,attrDesc
1,101,阿福娃娃I,1,368,1800,1,1,"体力+50"
2,102,飞天娃娃I,1,372,1800,1,1,"魔力+20"
3,103,石头戈伦娃娃I,1,449,1800,1,1,"负重减免+50"
4,104,雪人娃娃I,1,443,1800,1,1,"物伤减免+1"
5,105,肥肥娃娃I,1,445,1800,1,1,"近战伤害+1"
6,106,红长者娃娃I,1,441,1800,1,1,"命中抵抗+1"
7,201,绿长老娃娃II,2,442,1800,1,1,"命中抵抗+2"
8,202,蓝雪怪娃娃II,2,444,1800,1,1,"经验值获取+10%"
9,203,冰戈伦娃娃II,2,447,1800,1,1,"石化抗性+5"
10,204,蜂女娃娃II,2,388,1800,1,1,"远程伤害+2，远程命中+2"
11,205,八戒娃娃II,2,446,1800,1,1,"近战伤害+2，近战命中+2"
12,206,艾安娃娃II,2,391,1800,1,1,"魔力恢复+2，额外魔伤+2"
13,301,火戈伦娃娃III,3,448,1800,1,1,"石化抗性+10"
14,302,虚鲲娃娃III,3,382,1800,1,1,"眩晕抗性+10"
15,303,木灵娃娃III,3,390,1800,1,1,"魔力恢复+2，体力恢复+1"
16,304,火爆娃娃III,3,383,1800,1,1,"魔力恢复+2，命中抵抗+3"
17,305,阿土娃娃III,3,384,1800,1,1,"经验值获取+50%，物伤减免+3"
18,306,比卡娃娃III,3,389,1800,1,1,"体力+100，魔力+50，中毒抗性+5"
19,401,死神娃娃IV,4,458,1800,1,1,"魔攻+3，抵抗石化+15"
20,402,风神娃娃IV,4,387,1800,1,1,"远程伤害+5，远程命中+5"
21,403,独眼娃娃IV,4,455,1800,1,1,"近战伤害+5，命中抵抗+5"
22,404,小魔怪娃娃IV,4,462,1800,1,1,"物伤减免+5，抵抗中毒+15"
23,405,牛头人娃娃IV,4,459,1800,1,1,"近战伤害+5，近战命中+3，魔力恢复+3"
24,406,冰女王娃娃IV,4,463,1800,1,1,"物伤减免+5，经验+50%，魔力恢复+3"
25,501,死亡之镰娃娃V,5,457,1800,1,1,"魔攻+5，魔防+10，抵抗沉默+20"
26,502,云兔娃娃V,5,386,1800,1,1,"物伤减免+10，经验+100%，魔力恢复+5"
27,503,巴风特娃娃V,5,453,1800,1,1,"近战伤害+8，命中抵抗+8，经验+50%"
28,504,死骑娃娃V,5,450,1800,1,1,"近战伤害+8，近程命中+8，魔力恢复+3，抵抗石化+15，抵抗中毒+15"
29,505,牛魔王娃娃V,5,460,1800,1,1,"体力恢复+10，魔力恢复+10，抵抗石化+10，抵抗冰冻+10，抵抗眩晕+10"
30,506,紫衫女王娃娃V,5,464,1800,1,1,"远程伤害+8，远程命中+8，魔力恢复+3，抵抗石化+10，抵抗眩晕+10"
