id,dollId,name,level,gfxId,hpMax,hpr,hpc,attrDesc
1,101,阿福娃娃,1,368,1800,1,1,"体力+50"
2,102,飞天娃娃,1,372,1800,1,1,"魔力+20"
3,103,石头戈伦娃娃,1,449,1800,1,1,"负重减免+50"
4,104,雪人娃娃,1,443,1800,1,1,"物伤减免+1"
5,105,肥肥娃娃,1,445,1800,1,1,"近战伤害+1"
6,106,红长者娃娃,1,441,1800,1,1,"命中抵抗+1"
7,201,绿长老娃娃,2,442,1800,1,1,"命中抵抗+2"
8,202,蓝雪怪娃娃,2,444,1800,1,1,"经验值获取+10%"
9,203,冰戈伦娃娃,2,447,1800,1,1,"石化抗性+5"
10,204,蜂女娃娃,2,388,1800,1,1,"远程伤害+2，远程命中+2"
11,205,八戒娃娃,2,446,1800,1,1,"近战伤害+2，近战命中+2"
12,206,艾安娃娃,2,391,1800,1,1,"魔力恢复+2，额外魔伤+2"
13,301,火戈伦娃娃,3,448,1800,1,1,"石化抗性+10"
14,302,虚鲲娃娃,3,382,1800,1,1,"眩晕抗性+10"
15,303,木灵娃娃,3,390,1800,1,1,"魔力恢复+2，体力恢复+1"
16,304,火爆娃娃,3,383,1800,1,1,"魔力恢复+2，命中抵抗+3"
17,305,阿土娃娃,3,384,1800,1,1,"经验值获取+50%，物伤减免+3"
18,306,比卡娃娃,3,389,1800,1,1,"体力+100，魔力+50，中毒抗性+5"
