id,dollId,name,level,gfxId,hpMax,hpr,hpc,attrDesc
1,101,小飛蝠I,1,368,1800,1,1,"額外魔傷+1"
2,102,紅雪怪I,1,443,1800,1,1,"近戰物攻+1"
3,103,蓝雪怪I,1,444,1800,1,1,"遠程物攻+1"
4,104,藍肥肥I,1,445,1800,1,1,"魔力+15"
5,105,紅肥肥I,1,446,1800,1,1,"體力+30"
6,201,小飛龍II,2,372,1800,1,1,"物傷減免+1、魔傷減免+1"
7,202,紅長者II,2,441,1800,1,1,"體力+50"
8,203,綠長者II,2,442,1800,1,1,"魔力+25"
9,204,冰雪戈倫II,2,447,1800,1,1,"額外魔傷+2"
10,205,熔岩戈倫II,2,448,1800,1,1,"近戰物攻+2、近戰命中+1"
11,206,叢林戈倫II,2,449,1800,1,1,"遠程物攻+2、遠程命中+1"
12,301,水靈III,3,382,1800,1,1,"額外魔傷+3"
13,302,火靈III,3,383,1800,1,1,"近戰物攻+3，近戰命中+2"
14,303,土靈III,3,384,1800,1,1,"物傷減免+2，魔傷減免+2"
15,304,雲靈III,3,386,1800,1,1,"魔力+45"
16,305,風靈III,3,387,1800,1,1,"遠程物攻+3、遠程命中+2"
17,306,木靈III,3,390,1800,1,1,"體力+90"
18,401,蜂女IV,4,388,1800,1,1,"近戰物攻+5、近戰命中+4"
19,402,艾安IV,4,391,1800,1,1,"遠戰物攻+5、遠戰命中+4"
20,403,電靈IV,4,390,1800,1,1,"物傷減免+4，魔傷減免+4"
21,404,比卡IV,4,389,1800,1,1,"額外魔傷+5"
22,405,405IV,4,389,1800,1,1,"體力+140、體力恢復+1"
23,406,406IV,4,389,1800,1,1,"魔力+70、魔力恢復+1"
24,407,407IV,4,389,1800,1,1,"體力恢復+1、魔力恢復+1"
25,501,501IV,5,388,1800,1,1,"近戰物攻+8、近戰命中+7"
26,502,502IV,5,391,1800,1,1,"遠戰物攻+8、遠戰命中+7"
27,503,503IV,5,390,1800,1,1,"物傷減免+7，魔傷減免+7"
28,504,504IV,5,389,1800,1,1,"額外魔傷+8"
29,505,505IV,5,389,1800,1,1,"體力+200、體力恢復+2"
30,506,506IV,5,389,1800,1,1,"魔力+100、魔力恢復+2"
31,507,507IV,5,389,1800,1,1,"體力恢復+2、魔力恢復+2"
