cn_0,保护罩,3,5203,防御-2
cn_1,神圣武器,8,5282,对不死系怪物造成额外伤害
cn_2,附魔武器,12,5283,武器伤害+2
cn_3,负重强化,14,5205,负重值提升
cn_4,护持,21,5284,铠甲防御-3
cn_5,通畅气脉术,26,5209,敏捷+5
cn_6,魔法屏障,31,5210,抵消一次魔法伤害
cn_7,冥想术,32,5207,魔法恢复速度提升，移动或攻击後失效
cn_8,体魄强健术,42,5215,力量+5
cn_9,弱化术,47,5214,近战伤害-5，命中-1
cn_10,神佑武器,48,5285,伤害+2，命中+2
cn_11,狂暴术,55,5218,近战伤害+5
cn_12,疾病术,56,5219,防御+12，命中-6
cn_13,增幅防御,88,5256,防御提升，等级越高提升越多
cn_14,坚固防护,90,5255,回避提升，卸下盾牌后失效
cn_15,反击屏障,91,5257,一定几率反弹近身伤害
cn_16,冲击士气,117,5260,伤害+5
cn_17,魔法防御,129,5228,魔防+10%
cn_18,弱化属性,133,5239,地属性防御-50%
cn_19,弱化属性,133,5263,水属性防御-50%
cn_20,弱化属性,133,5264,风属性防御-50%
cn_21,弱化属性,133,5260,火属性防御-50%
cn_22,镜反射,134,5252,一定几率反弹魔法伤害
cn_23,净化精神,137,5230,精神+3
cn_24,属性防御,138,5229,全属性防御*110%
cn_25,火焰武器,148,5235,近战伤害+4
cn_26,风之神射,149,5237,远程命中+6
cn_27,大地防护,151,5233,防御-6
cn_28,魔法消除,153,5243,魔防-75%，受到一次魔法攻击後失效
cn_29,水之防护,160,5241,回避+5
cn_30,水之元气,170,5234,治愈魔法效果*2，只生效一次
cn_31,属性之火,171,5245,33%几率，近战伤害*1.5
cn_32,勇敢状态,1000,5236,二次提升移动速度
cn_33,加速状态,1001,5213,提升所有速度
cn_34,加速回魔状态,1002,5365,提升魔力回复速度
cn_35,精神药水状态,1004,5364,提升魔法伤害
cn_36,缓速状态,1010,5208,降低所有速度
cn_37,变身状态,1011,5286,变为怪物，获得对应能力
cn_38,二段加速,1016,5304,二段提升所有速度
cn_39,禁传状态,1044,5370,禁止传送
cn_40,破匿显形,1045,5368,隐身状态无效
cn_41,体力上限提升,1047,5516,体力上限提升
cn_42,魔力上限提升,1048,5515,魔力上限提升
cn_43,禁疗状态,1049,5518,禁止治疗
cn_44,药水霜化状态,1057,5224,无法使用药水
cn_45,变身状态2,1058,5539,变身为怪物，带有负面效果
cn_46,经验奖励,1060,5554,经验提升
cn_47,战王,1050,5528,近战命中+1，近战伤害+1
cn_48,精准,1051,5529,远程命中+1，远程伤害+1
cn_49,光辉,1052,5530,神圣伤害+3
cn_50,灵敏,1053,5531,命中抵御+1，远程闪避+2
cn_51,坚韧,1054,5532,伤害减免+2
cn_52,恢复,1055,5533,回血附加+3，回魔附加+1
cn_53,魔咒,1056,5534,魔法伤害+2
cn_54,圣结界,68,5223,受到伤害-50%
cn_55,单属性防御,147,5231,地属性防御+50%
cn_56,单属性防御,147,5266,水属性防御+50%
cn_57,单属性防御,147,5267,风属性防御+50%
cn_58,单属性防御,147,5268,火属性防御+50%
cn_59,神圣疾走,52,5220,提升移动速度
cn_60,魅魔的迷魅,5012,5370,禁止传送
cn_61,士兵守卫魔法,5013,5370,禁止传送
cn_62,魅魔妖后火系魔法,5015,5518,禁止治疗
cn_63,泥龍沼泽泥潭,5020,5208,降低所有速度
cn_64,山凸,5022,5208,降低所有速度
cn_65,土之荆棘,152,5232,不可使用加速
cn_66,烈焰之魂,175,5249,增加武器伤害
cn_67,风之光影,172,5236,提高物理躲闪
