cn_0,"客户端版本:%s 资源版本:%u"
cn_1,下载最新版的伊丁天堂
cn_2,连接游戏服务器...(准备就绪)
cn_3,"更新数据中 (%s, %u->%u) %u%%, 请稍等..."
cn_4,"更新数据中 (%s, %u->%u), 请稍等..."
cn_5,连接服务器...
cn_6,连接服务器...(已连接)
cn_7,连接服务器...(失败)
cn_8,连接服务器....(协议错误)
cn_9,"连接失败, 请重新尝试"
cn_10,连接服务器...(握手中)
cn_11,解压初始游戏资源...
cn_12,连接更新服务器...
cn_13,连接更新服务器...(获取更新中)
cn_14,连接更新服务器...(失败)
cn_15,"更新失败, 请重新尝试"
cn_16,"接收更新中...(%u/%u) %s"
cn_17,"更新数据中(全部更新, %u->%u), 请稍等..."
cn_18,"更新数据中(局部更新, %u->%u), 请稍等..."
cn_19,"更新失败, 请重新启动. (未知更新信息:%s)"
cn_20,"更新失败, 请重新启动. (无效更新信息:%s)"
cn_21,"解压数据中 (%s, %u->%u), 请稍等...(%d%%)"
cn_22,"更新失败, 请重新启动. (解压数据失败)"
cn_23,"更新失败, 更新数据出错, 将重新下载资源或解压预设资源."
cn_24,更新数据失败，请重新尝试下载更新
cn_25,请退出游戏后，腾出不少于%fG的空间，再点击屏幕重新进行更新
cn_26,设备剩余空间不足，无法进行更新
cn_27,　确定　|　取消　
cn_28,　确定　
cn_29,"无法使用微信登入，请确保设备已安装相关组件"
cn_30,"\fK客户端版本:%s 资源版本:%u"
cn_31,帐号已经存在
cn_32,密码错误
cn_33,"帐号被锁，请联系cs@lakoo.com\n请提供帐户详细资讯，标题：伊丁天堂-帐户问题"
cn_34,有另外一位玩家已经登入
cn_35,帐号或密码的格式有误
cn_36,错误代码:%d
cn_37,登入失败，%s
cn_38,帐号和密码不能为空，请确认输入
cn_39,确认密码不一致，请重新确认输入
cn_40,微信服务器未回应，请重新打开伊丁天堂，点击开始游戏
cn_41,"\fK帐号"
cn_42,"\fK密码"
cn_43,"\fK登 入"
cn_44,"\fK注 册"
cn_45,"\fK取 消"
cn_46,"\fK密码确认"
cn_47,"\fK登入"
cn_48,提示
cn_49,王族
cn_50,骑士
cn_51,精灵
cn_52,法师
cn_53,黑暗精灵
cn_54,龙骑士
cn_55,幻术士
cn_56,未知职业
cn_57,人物
cn_58,背包
cn_59,魔法
cn_60,任务
cn_61,书签
cn_62,社交
cn_63,综合
cn_64,血盟
cn_65,离开
cn_66,关于
cn_67,确定
cn_68,取消
cn_69,请设置书签名字:
cn_70,添加书签
cn_71,书签
cn_72,确认删除书签
cn_73,真的要删除'%s'吗?
cn_74,一键发送聊天
cn_75,聊天快捷键
cn_76,确定离开游戏?
cn_77,"重新开始 | 返回选服 | 离开游戏"
cn_78,复活
cn_79,请选择复活方式
cn_80,"附近城镇"
cn_81,"连线中断, 原因: %u"
cn_82,连线中断
cn_83,请选择目标物品
cn_84,负重
cn_85,"\fK人 物"
cn_86,"\fK锁 定"
cn_87,"\fK整 理"
cn_88,正义
cn_89,邪恶
cn_90,中立
cn_91,"密  语"
cn_92,"邮  件"
cn_93,"封  锁"
cn_94,"删  除"
cn_95,玩家名称
cn_96,玩家血盟
cn_97,玩家称号
cn_98,职业
cn_99,等级
cn_100,添加好友
cn_101,公告栏：
cn_102,血盟名称：
cn_103,盟主：
cn_104,占有城池：
cn_105,成员人数：
cn_106,欢迎加入血盟！！！
cn_107,充值
cn_108,设定
cn_109,成功登入游戏
cn_110,请输入数量：
cn_111,"商  店"
cn_112,总价
cn_113,"\fK购  买"
cn_114,"\fK卖  出"
cn_115,请选择新角色
cn_116,请输入角色名称
cn_117,请选择推荐配点或者手动调整属性点数。
cn_118,请确定自定义分配的属性点
cn_119,暂时未开放该角色，请重新选择
cn_120,请分配所有剩余属性点
cn_121,系统错误，请重新输入
cn_122,新角色名称已存在，请重新输入
cn_123,新角色名称无效，请重新输入
cn_124,创造角色失败（错误能力值），请重新尝试
